HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"0401","0","Milk and cream, not concentrated nor containing added sugar or other sweetening matter:","","","","","",""
"0401.10.00.00","1","Of a fat content, by weight, not exceeding 1 percent","[""liters"",""kg""]","0.34¢/liter","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","0.5¢/liter","",""
"0401.20","1","Of a fat content, by weight, exceeding 1 percent but not exceeding 6 percent:","","","","","",""
"0401.20.20.00","2","For not over 11,356,236 liters entered in any calendar year","[""liters"",""kg cmsc""]","0.43¢/liter","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.7¢/liter","",""
"0401.20.40.00","2","Other","[""liters"",""kg cmsc""]","1.5¢/liter","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.7¢/liter","",""
"0401.40","1","Of a fat content, by weight, exceeding 6 percent but not exceeding 10 percent:","","","","","",""
"0401.40.02.00","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""liters""]","3.2¢/liter","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","15¢/liter","",""
"0401.40.05.00","2","Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions","[""liters"",""kg cmsc""]","3.2¢/liter","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15¢/liter","",""
"0401.40.25.00","2","Other","[""liters"",""kg cmsc""]","77.2¢/liter","Free (BH,CL,CO,JO,KR,MA,OM,P,P+,PE,SG) 5.1¢/liter (PA) See 9822.04.05 (AU) See 9823.01.01-9823.01.07 (S+)","90.8¢/liter","",""
"0401.50","1","Of a fat content, by weight, exceeding 10 percent:","","","","","",""
"","2","Of a fat content, by weight, not exceeding 45 percent:","","","","","",""
"0401.50.02.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""liters""]","3.2¢/liter","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","15¢/liter","",""
"0401.50.05.00","3","Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions","[""liters"",""kg cmsc""]","3.2¢/liter","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15¢/liter","",""
"0401.50.25.00","3","Other","[""liters"",""kg cmsc""]","77.2¢/liter","Free (BH,CL,CO,JO,KR,MA,OM,P,P+,PE,SG) 5.1¢/liter (PA) See 9822.04.05 (AU) See 9823.01.01-9823.01.07 (S+)","90.8¢/liter","",""
"","2","Other:","","","","","",""
"0401.50.42.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""liters"",""kg""]","12.3¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","31¢/kg","",""
"0401.50.50.00","3","Described in additional U.S. note 6 to this chapter and entered pursuant to its provisions","[""liters"",""kg""]","12.3¢/kg","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","31¢/kg","",""
"0401.50.75.00","3","Other","[""liters"",""kg""]","$1.646/kg","Free (BH,CL,CO,JO,KR,MA,OM,P,P+,PE,SG) 10.9¢/kg (PA) See 9822.04.10 (AU) See 9823.03.01-9823.03.12 (S+) See 9908.04.01 (IL)","$1.936/kg","",""
"0402","0","Milk and cream, concentrated or containing added sugar or other sweetening matter:","","","","","",""
"0402.10","1","In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 percent:","","","","","",""
"0402.10.05.00","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","3.3¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","6.6¢/kg","",""
"0402.10.10.00","2","Described in additional U.S. note 7 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","3.3¢/kg","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"0402.10.50.00","2","Other","[""kg"",""kg cmsc""]","86.5¢/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 5.7¢/kg (CO,KR,PA) See 9822.04.15 (AU) See 9823.02.01-9823.02.04 (S+) See 9908.04.03 (IL)","$1.018/kg","",""
"","1","In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 percent:","","","","","",""
"0402.21","2","Not containing added sugar or other sweetening matter:","","","","","",""
"","3","Of a fat content, by weight, not exceeding 3 percent:","","","","","",""
"0402.21.02.00","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","3.3¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
